danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,track_id,uri,track_href,analysis_url,duration_ms,time_signature
0.595,0.389,2,-9.245,1,0.0349,0.418,1.39e-06,0.116,0.4,166.052,audio_features,5kNe7PE09d6Kvw5pAsx23n,spotify:track:5kNe7PE09d6Kvw5pAsx23n,https://api.spotify.com/v1/tracks/5kNe7PE09d6Kvw5pAsx23n,https://api.spotify.com/v1/audio-analysis/5kNe7PE09d6Kvw5pAsx23n,227427,4
0.555,0.89,6,-5.533,1,0.0309,0.0414,0.131,0.147,0.513,96.987,audio_features,6rqxivjFHp8K0yMiefG56g,spotify:track:6rqxivjFHp8K0yMiefG56g,https://api.spotify.com/v1/tracks/6rqxivjFHp8K0yMiefG56g,https://api.spotify.com/v1/audio-analysis/6rqxivjFHp8K0yMiefG56g,335267,4
0.592,0.917,2,-3.057,1,0.0541,0.0164,1.23e-06,0.144,0.572,112.03,audio_features,1kneRrMfS08JwuqKwnX4fl,spotify:track:1kneRrMfS08JwuqKwnX4fl,https://api.spotify.com/v1/tracks/1kneRrMfS08JwuqKwnX4fl,https://api.spotify.com/v1/audio-analysis/1kneRrMfS08JwuqKwnX4fl,208867,4
0.514,0.951,9,-3.813,1,0.0603,0.0951,0.0,0.349,0.838,171.96,audio_features,3wx2kQWPn9p5UppQbNhPAk,spotify:track:3wx2kQWPn9p5UppQbNhPAk,https://api.spotify.com/v1/tracks/3wx2kQWPn9p5UppQbNhPAk,https://api.spotify.com/v1/audio-analysis/3wx2kQWPn9p5UppQbNhPAk,192160,4
0.634,0.862,2,-5.337,1,0.0376,0.0287,0.0,0.0217,0.767,95.989,audio_features,1zWZvrk13cL8Sl3VLeG57F,spotify:track:1zWZvrk13cL8Sl3VLeG57F,https://api.spotify.com/v1/tracks/1zWZvrk13cL8Sl3VLeG57F,https://api.spotify.com/v1/audio-analysis/1zWZvrk13cL8Sl3VLeG57F,227693,4
0.615,0.65,3,-4.944,1,0.0347,0.0718,0.0,0.101,0.548,152.086,audio_features,2BeispT0rpKZX9RhI1H8vL,spotify:track:2BeispT0rpKZX9RhI1H8vL,https://api.spotify.com/v1/tracks/2BeispT0rpKZX9RhI1H8vL,https://api.spotify.com/v1/audio-analysis/2BeispT0rpKZX9RhI1H8vL,207733,4
0.732,0.458,5,-7.225,1,0.0311,0.447,0.0,0.136,0.661,98.938,audio_features,7mldq42yDuxiUNn08nvzHO,spotify:track:7mldq42yDuxiUNn08nvzHO,https://api.spotify.com/v1/tracks/7mldq42yDuxiUNn08nvzHO,https://api.spotify.com/v1/audio-analysis/7mldq42yDuxiUNn08nvzHO,165387,4
0.611,0.8,0,-5.61,1,0.0377,0.257,0.0,0.194,0.527,89.974,audio_features,5S5rw0WLVCAux5B5bWCehK,spotify:track:5S5rw0WLVCAux5B5bWCehK,https://api.spotify.com/v1/tracks/5S5rw0WLVCAux5B5bWCehK,https://api.spotify.com/v1/audio-analysis/5S5rw0WLVCAux5B5bWCehK,209280,4
0.414,0.843,11,-4.638,1,0.0531,0.00647,1.52e-05,0.194,0.572,165.713,audio_features,0uRlP6bHbSgBGklmaCMqG7,spotify:track:0uRlP6bHbSgBGklmaCMqG7,https://api.spotify.com/v1/tracks/0uRlP6bHbSgBGklmaCMqG7,https://api.spotify.com/v1/audio-analysis/0uRlP6bHbSgBGklmaCMqG7,230707,4
0.69,0.626,7,-5.831,1,0.0275,0.129,0.0,0.169,0.638,101.958,audio_features,0CexLaYHQrvcTZZb8Ra54e,spotify:track:0CexLaYHQrvcTZZb8Ra54e,https://api.spotify.com/v1/tracks/0CexLaYHQrvcTZZb8Ra54e,https://api.spotify.com/v1/audio-analysis/0CexLaYHQrvcTZZb8Ra54e,181200,4
0.518,0.686,9,-4.911,1,0.0313,0.114,0.0,0.114,0.334,144.065,audio_features,1XazlqB4YAtvouCmJPWXlM,spotify:track:1XazlqB4YAtvouCmJPWXlM,https://api.spotify.com/v1/tracks/1XazlqB4YAtvouCmJPWXlM,https://api.spotify.com/v1/audio-analysis/1XazlqB4YAtvouCmJPWXlM,236227,4
0.526,0.661,7,-3.828,0,0.0333,0.361,0.0,0.087,0.556,78.132,audio_features,19PJf5HzeiVW0mdk82Swmn,spotify:track:19PJf5HzeiVW0mdk82Swmn,https://api.spotify.com/v1/tracks/19PJf5HzeiVW0mdk82Swmn,https://api.spotify.com/v1/audio-analysis/19PJf5HzeiVW0mdk82Swmn,196960,4
0.639,0.846,9,-6.184,0,0.0439,0.0325,0.0,0.116,0.475,115.965,audio_features,3M31S6f0z8S3nkFh3eS06W,spotify:track:3M31S6f0z8S3nkFh3eS06W,https://api.spotify.com/v1/tracks/3M31S6f0z8S3nkFh3eS06W,https://api.spotify.com/v1/audio-analysis/3M31S6f0z8S3nkFh3eS06W,224813,4
0.637,0.669,7,-4.608,1,0.0237,0.0919,0.0,0.103,0.638,108.078,audio_features,1R9FxlRkvKtt36dtTHs93X,spotify:track:1R9FxlRkvKtt36dtTHs93X,https://api.spotify.com/v1/tracks/1R9FxlRkvKtt36dtTHs93X,https://api.spotify.com/v1/audio-analysis/1R9FxlRkvKtt36dtTHs93X,205120,4
0.476,0.857,7,-5.733,1,0.0432,0.113,0.0,0.135,0.543,169.975,audio_features,477pWnF7WFWb9Qs6g8rs4J,spotify:track:477pWnF7WFWb9Qs6g8rs4J,https://api.spotify.com/v1/tracks/477pWnF7WFWb9Qs6g8rs4J,https://api.spotify.com/v1/audio-analysis/477pWnF7WFWb9Qs6g8rs4J,220200,4
0.614,0.472,7,-6.626,1,0.0297,0.158,0.0,0.111,0.168,146.005,audio_features,0xwPzLmBAYro8BUz7MrtAo,spotify:track:0xwPzLmBAYro8BUz7MrtAo,https://api.spotify.com/v1/tracks/0xwPzLmBAYro8BUz7MrtAo,https://api.spotify.com/v1/audio-analysis/0xwPzLmBAYro8BUz7MrtAo,225693,4
