title,track_id,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
Die A Happy Man,5kNe7PE09d6Kvw5pAsx23n,Thomas Rhett,0.595,0.389,2,-9.245,1,0.0349,0.418,1.39e-06,0.116,0.4,166.052,audio_features,spotify:track:5kNe7PE09d6Kvw5pAsx23n,https://api.spotify.com/v1/tracks/5kNe7PE09d6Kvw5pAsx23n,https://api.spotify.com/v1/audio-analysis/5kNe7PE09d6Kvw5pAsx23n,227427,4
Stay A Little Longer,6rqxivjFHp8K0yMiefG56g,Brothers Osborne,0.555,0.89,6,-5.533,1,0.0309,0.0414,0.131,0.147,0.513,96.987,audio_features,spotify:track:6rqxivjFHp8K0yMiefG56g,https://api.spotify.com/v1/tracks/6rqxivjFHp8K0yMiefG56g,https://api.spotify.com/v1/audio-analysis/6rqxivjFHp8K0yMiefG56g,335267,4
I Love This Life,1kneRrMfS08JwuqKwnX4fl,LOCASH,0.592,0.917,2,-3.057,1,0.0541,0.0164,1.23e-06,0.144,0.572,112.03,audio_features,spotify:track:1kneRrMfS08JwuqKwnX4fl,https://api.spotify.com/v1/tracks/1kneRrMfS08JwuqKwnX4fl,https://api.spotify.com/v1/audio-analysis/1kneRrMfS08JwuqKwnX4fl,208867,4
Leave The Night On,3wx2kQWPn9p5UppQbNhPAk,Sam Hunt,0.514,0.951,9,-3.813,1,0.0603,0.0951,0.0,0.349,0.838,171.96,audio_features,spotify:track:3wx2kQWPn9p5UppQbNhPAk,https://api.spotify.com/v1/tracks/3wx2kQWPn9p5UppQbNhPAk,https://api.spotify.com/v1/audio-analysis/3wx2kQWPn9p5UppQbNhPAk,192160,4
T-Shirt,1zWZvrk13cL8Sl3VLeG57F,Thomas Rhett,0.634,0.862,2,-5.337,1,0.0376,0.0287,0.0,0.0217,0.767,95.989,audio_features,spotify:track:1zWZvrk13cL8Sl3VLeG57F,https://api.spotify.com/v1/tracks/1zWZvrk13cL8Sl3VLeG57F,https://api.spotify.com/v1/audio-analysis/1zWZvrk13cL8Sl3VLeG57F,227693,4
Break Up with Him,2BeispT0rpKZX9RhI1H8vL,Old Dominion,0.615,0.65,3,-4.944,1,0.0347,0.0718,0.0,0.101,0.548,152.086,audio_features,spotify:track:2BeispT0rpKZX9RhI1H8vL,https://api.spotify.com/v1/tracks/2BeispT0rpKZX9RhI1H8vL,https://api.spotify.com/v1/audio-analysis/2BeispT0rpKZX9RhI1H8vL,207733,4
Body Like A Back Road,7mldq42yDuxiUNn08nvzHO,Sam Hunt,0.732,0.458,5,-7.225,1,0.0311,0.447,0.0,0.136,0.661,98.938,audio_features,spotify:track:7mldq42yDuxiUNn08nvzHO,https://api.spotify.com/v1/tracks/7mldq42yDuxiUNn08nvzHO,https://api.spotify.com/v1/audio-analysis/7mldq42yDuxiUNn08nvzHO,165387,4
I Like The Sound Of That,5S5rw0WLVCAux5B5bWCehK,Rascal Flatts,0.611,0.8,0,-5.61,1,0.0377,0.257,0.0,0.194,0.527,89.974,audio_features,spotify:track:5S5rw0WLVCAux5B5bWCehK,https://api.spotify.com/v1/tracks/5S5rw0WLVCAux5B5bWCehK,https://api.spotify.com/v1/audio-analysis/5S5rw0WLVCAux5B5bWCehK,209280,4
Yeah,0uRlP6bHbSgBGklmaCMqG7,Joe Nichols,0.414,0.843,11,-4.638,1,0.0531,0.00647,1.52e-05,0.194,0.572,165.713,audio_features,spotify:track:0uRlP6bHbSgBGklmaCMqG7,https://api.spotify.com/v1/tracks/0uRlP6bHbSgBGklmaCMqG7,https://api.spotify.com/v1/audio-analysis/0uRlP6bHbSgBGklmaCMqG7,230707,4
Star Of The Show,0CexLaYHQrvcTZZb8Ra54e,Thomas Rhett,0.69,0.626,7,-5.831,1,0.0275,0.129,0.0,0.169,0.638,101.958,audio_features,spotify:track:0CexLaYHQrvcTZZb8Ra54e,https://api.spotify.com/v1/tracks/0CexLaYHQrvcTZZb8Ra54e,https://api.spotify.com/v1/audio-analysis/0CexLaYHQrvcTZZb8Ra54e,181200,4
